[0.160 -> 0.480] 陆 lu4
[0.480 -> 0.640] 羽 yu3
[0.640 -> 1.120] 平 ping2
[1.360 -> 1.600] 你 ni2
[1.600 -> 2.080] 好 hao3
[2.720 -> 3.120] 好 hao2
[3.120 -> 3.360] 久 jiu3
[3.360 -> 3.520] 不 bu2
[3.520 -> 3.760] 见 jian4
[3.760 -> 4.080] 了 le5
[4.400 -> 4.560] 你 ni3
[4.560 -> 4.800] 去 qu4
[4.800 -> 5.280] 哪 na3
[5.840 -> 6.080] 是 shi4
[6.080 -> 6.160] 你 ni3
[6.160 -> 6.480] 啊 a5
[6.720 -> 6.880] 李 li3
[6.880 -> 7.200] 波 bo1
[8.080 -> 8.240] 我 wo3
[8.240 -> 8.400] 去 qu4
[8.400 -> 8.640] 电 dian4
[8.640 -> 8.720] 影 ying3
[8.720 -> 8.880] 学 xue2
[8.880 -> 9.200] 院 yuan4
[9.440 -> 9.600] 他 ta1
[9.600 -> 9.760] 们 men5
[9.760 -> 10.000] 请 qing2
[10.000 -> 10.080] 我 wo3
[10.080 -> 10.240] 做 zuo4
[10.240 -> 10.480] 报 bao4
[10.480 -> 10.800] 告 gao4
[11.520 -> 11.680] 你 ni3
[11.680 -> 11.920] 去 qu4
[11.920 -> 12.160] 哪 na3
[12.160 -> 12.400] 了 le5
[12.880 -> 13.120] 我 wo3
[13.120 -> 13.280] 去 qu4
[13.280 -> 13.600] 王 wang2
[13.600 -> 13.760] 府 fu2
[13.760 -> 14.080] 井 jing3
[14.080 -> 14.560] 了 le5
[15.360 -> 15.520] 我 wo3
[15.520 -> 15.760] 去 qu4
[15.760 -> 16.000] 给 gei3
[16.000 -> 16.160] 爸 ba4
[16.160 -> 16.320] 爸 ba4
[16.320 -> 16.560] 妈 ma1
[16.560 -> 16.960] 妈 ma1
[17.040 -> 17.360] 买 mai3
[17.360 -> 17.680] 圣 sheng4
[17.680 -> 17.920] 诞 dan4
[17.920 -> 18.160] 节 jie2
[18.160 -> 18.400] 礼 li3
[18.400 -> 18.640] 物 wu4
[18.640 -> 18.960] 了 le5
[19.680 -> 19.840] 你 ni3
[19.840 -> 20.080] 爸 ba4
[20.080 -> 20.240] 爸 ba4
[20.240 -> 20.480] 妈 ma1
[20.480 -> 20.640] 妈 ma1
[20.640 -> 20.800] 都 dou1
[20.800 -> 21.040] 好 hao3
[21.040 -> 21.280] 吗 ma5
[21.760 -> 22.000] 他 ta1
[22.000 -> 22.160] 们 men5
[22.160 -> 22.320] 都 dou1
[22.320 -> 22.640] 很 hen2
[22.640 -> 23.120] 好 hao3
[23.360 -> 23.760] 谢 xie4
[23.760 -> 24.080] 谢 xie4
[24.800 -> 25.120] 听 ting1
[25.120 -> 25.280] 说 shuo1
[25.280 -> 25.520] 你 ni3
[25.520 -> 25.840] 爸 ba4
[25.840 -> 25.920] 爸 ba4
[25.920 -> 26.160] 妈 ma1
[26.160 -> 26.320] 妈 ma1
[26.320 -> 26.400] 的 de5
[26.400 -> 26.720] 专 zhuan1
[26.720 -> 27.120] 业 ye4
[27.200 -> 27.520] 也 ye3
[27.520 -> 27.680] 是 shi4
[27.680 -> 28.000] 中 zhong1
[28.000 -> 28.320] 文 wen2
[29.040 -> 29.200] 我 wo3
[29.200 -> 29.360] 爸 ba4
[29.360 -> 29.600] 爸 ba4
[29.600 -> 29.840] 是 shi4
[29.840 -> 30.000] 加 jia1
[30.000 -> 30.160] 拿 na2
[30.160 -> 30.400] 大 da4
[30.400 -> 30.720] 人 ren2
[30.960 -> 31.200] 中 zhong1
[31.200 -> 31.360] 文 wen2
[31.360 -> 31.600] 名 ming2
[31.600 -> 31.920] 字 zi4
[32.000 -> 32.240] 叫 jiao4
[32.240 -> 32.560] 古 gu3
[32.560 -> 32.880] 波 bo1
[33.680 -> 33.840] 他 ta1
[33.840 -> 34.000] 以 yi3
[34.000 -> 34.320] 前 qian2
[34.400 -> 34.560] 也 ye3
[34.560 -> 34.800] 在 zai4
[34.800 -> 35.040] 语 yu3
[35.040 -> 35.200] 言 yan2
[35.200 -> 35.360] 学 xue2
[35.360 -> 35.600] 院 yuan4
[35.600 -> 35.760] 学 xue2
[35.760 -> 36.000] 汉 han4
[36.000 -> 36.320] 语 yu3
[36.560 -> 36.800] 现 xian4
[36.800 -> 36.960] 在 zai4
[36.960 -> 37.280] 是 shi4
[37.440 -> 37.680] 中 zhong1
[37.680 -> 37.920] 国 guo2
[37.920 -> 38.080] 文 wen2
