[0.240 -> 0.400] 陆 lu4
[0.400 -> 0.560] 雨 yu3
[0.560 -> 1.040] 萍 ping2
[1.280 -> 1.440] 你 ni2
[1.440 -> 1.840] 好 hao3
[2.560 -> 2.880] 好 hao2
[2.880 -> 3.040] 久 jiu3
[3.040 -> 3.200] 不 bu2
[3.200 -> 3.520] 见 jian4
[3.520 -> 3.760] 啦 la5
[4.160 -> 4.240] 你 ni3
[4.240 -> 4.480] 去 qu4
[4.480 -> 4.880] 哪 na3
[5.120 -> 5.360] 是 shi4
[5.360 -> 5.520] 你 ni3
[5.520 -> 5.920] 啊 a5
[6.240 -> 6.400] 李 li3
[6.400 -> 6.720] 博 bo2
[7.600 -> 7.760] 我 wo3
[7.760 -> 7.920] 去 qu4
[7.920 -> 8.160] 电 dian4
[8.160 -> 8.240] 影 ying3
[8.240 -> 8.560] 学 xue2
[8.560 -> 8.800] 院 yuan4
[9.200 -> 9.360] 他 ta1
[9.360 -> 9.440] 们 men5
[9.440 -> 9.680] 请 qing2
[9.680 -> 9.840] 我 wo3
[9.840 -> 10.000] 做 zuo4
[10.000 -> 10.160] 报 bao4
[10.160 -> 10.480] 告 gao4
[11.360 -> 11.520] 你 ni3
[11.520 -> 11.680] 去 qu4
[11.680 -> 11.840] 哪 na3
[11.840 -> 12.160] 了 le5
[12.720 -> 12.880] 我 wo3
[12.880 -> 13.120] 去 qu4
[13.120 -> 13.360] 王 wang2
[13.360 -> 13.520] 府 fu2
[13.520 -> 13.840] 井 jing3
[13.840 -> 14.160] 了 le5
[14.880 -> 15.040] 我 wo3
[15.040 -> 15.280] 去 qu4
[15.280 -> 15.440] 给 gei3
[15.440 -> 15.680] 爸 ba4
[15.680 -> 15.840] 爸 ba4
[15.840 -> 16.080] 妈 ma1
[16.080 -> 16.560] 妈 ma1
[16.640 -> 16.880] 买 mai3
[16.880 -> 17.120] 圣 sheng4
[17.120 -> 17.360] 诞 dan4
[17.360 -> 17.520] 节 jie2
[17.520 -> 17.680] 礼 li3
[17.680 -> 18.000] 物 wu4
[18.000 -> 18.240] 了 le5
[18.960 -> 19.120] 你 ni3
[19.120 -> 19.360] 爸 ba4
[19.360 -> 19.520] 爸 ba4
[19.520 -> 19.760] 妈 ma1
[19.760 -> 20.080] 妈 ma1
[20.160 -> 20.320] 都 dou1
[20.320 -> 20.640] 好 hao3
[20.640 -> 21.040] 吗 ma5
